timestamp_s,frame,track_id,class,x1,y1,x2,y2,confidence
0.0,0,1,car,2641,1422,3143,1975,0.765
0.0,0,2,car,2346,753,2572,927,0.727
0.0,0,3,car,1132,826,1392,1056,0.71
0.0,0,4,car,1818,844,2104,1143,0.672
0.0,0,5,car,1439,911,1721,1147,0.665
0.0,0,6,person,3777,870,3838,1102,0.544
0.0,0,7,car,621,969,904,1211,0.506
0.0,0,8,car,2568,745,2772,872,0.505
0.0,0,9,car,328,1047,759,1386,0.439
0.0,0,10,person,71,905,150,1133,0.438
0.04,1,1,car,2655,1427,3146,1968,0.685
0.04,1,2,car,2350,757,2568,924,0.724
0.04,1,3,car,1130,827,1390,1057,0.722
0.04,1,4,car,1816,839,2106,1142,0.636
0.04,1,5,car,1438,908,1721,1146,0.635
0.04,1,6,person,3776,868,3835,1097,0.521
0.04,1,7,car,624,971,901,1209,0.567
0.04,1,8,car,2564,743,2772,873,0.417
0.04,1,9,car,325,1051,754,1387,0.553
0.04,1,10,person,71,900,152,1135,0.506
0.08,2,1,car,2677,1430,3143,1943,0.581
0.08,2,2,car,2346,752,2564,920,0.727
0.08,2,3,car,1129,829,1388,1058,0.717
0.08,2,4,car,1816,839,2106,1142,0.614
0.08,2,5,car,1438,907,1722,1146,0.637
0.08,2,6,person,3775,868,3832,1083,0.562
0.08,2,7,car,627,973,901,1207,0.544
0.08,2,8,car,2568,747,2769,874,0.476
0.08,2,9,car,320,1049,753,1389,0.48
0.08,2,10,person,70,897,153,1137,0.536
0.12,3,1,car,2696,1438,3140,1926,0.511
0.12,3,2,car,2345,751,2563,917,0.736
0.12,3,3,car,1128,834,1383,1059,0.732
0.12,3,4,car,1816,839,2106,1142,0.65
0.12,3,5,car,1437,906,1723,1147,0.644
0.12,3,6,person,3772,871,3831,1093,0.471
0.12,3,7,car,626,972,901,1207,0.565
0.12,3,8,car,2568,749,2765,873,0.477
0.12,3,9,car,321,1054,747,1389,0.586
0.12,3,10,person,73,902,155,1140,0.468
0.16,4,1,car,2707,1442,3143,1921,0.502
0.16,4,2,car,2351,758,2558,916,0.676
0.16,4,3,car,1123,833,1386,1067,0.685
0.16,4,4,car,1814,837,2107,1143,0.625
0.16,4,5,car,1436,905,1723,1147,0.637
0.16,4,6,person,3769,873,3830,1098,0.582
0.16,4,7,car,623,973,898,1207,0.551
0.16,4,9,car,319,1056,746,1393,0.53
0.16,4,10,person,74,898,157,1142,0.427
0.2,5,2,car,2345,754,2555,914,0.572
0.2,5,3,car,1122,834,1387,1069,0.771
0.2,5,4,car,1813,834,2108,1143,0.622
0.2,5,5,car,1438,907,1723,1148,0.611
0.2,5,7,car,622,973,899,1209,0.535
0.2,5,9,car,316,1057,745,1397,0.461
0.2,5,13,person,2,1878,169,2150,0.668
0.2,5,15,car,2224,654,2395,803,0.461
0.2,5,8,car,2559,748,2755,871,0.435
0.24,6,2,car,2343,757,2549,913,0.602
0.24,6,3,car,1119,838,1383,1072,0.628
0.24,6,4,car,1817,845,2104,1144,0.717
0.24,6,5,car,1439,907,1725,1148,0.587
0.24,6,7,car,620,975,900,1212,0.569
0.24,6,9,car,312,1062,739,1401,0.601
0.24,6,13,person,1,1868,175,2150,0.683
0.24,6,15,car,2224,654,2393,801,0.483
0.24,6,8,car,2544,741,2750,869,0.409
0.24,6,1,car,2715,1459,3132,1919,0.465
0.24,6,6,person,3762,877,3829,1123,0.598
0.28,7,2,car,2345,762,2547,914,0.652
0.28,7,3,car,1118,839,1382,1073,0.588
0.28,7,4,car,1820,850,2102,1145,0.749
0.28,7,5,car,1444,914,1722,1149,0.649
0.28,7,7,car,620,976,899,1210,0.575
0.28,7,9,car,313,1068,733,1403,0.586
0.28,7,13,person,0,1860,175,2148,0.704
0.28,7,15,car,2224,653,2392,799,0.464
0.28,7,8,car,2542,735,2755,868,0.475
0.28,7,1,car,2726,1469,3133,1922,0.44
0.28,7,6,person,3759,879,3829,1131,0.621
0.32,8,2,car,2340,757,2548,913,0.574
0.32,8,3,car,1121,844,1378,1073,0.54
0.32,8,4,car,1822,857,2102,1148,0.711
0.32,8,5,car,1442,912,1723,1150,0.672
0.32,8,7,car,623,978,904,1213,0.563
0.32,8,9,car,312,1070,731,1406,0.528
0.32,8,13,person,0,1853,178,2148,0.443
0.32,8,8,car,2539,736,2752,868,0.538
0.32,8,1,car,2733,1476,3131,1923,0.636
0.32,8,6,person,3758,880,3830,1135,0.552
0.36,9,2,car,2337,748,2548,906,0.578
0.36,9,3,car,1120,846,1378,1075,0.625
0.36,9,4,car,1823,860,2102,1149,0.722
0.36,9,5,car,1442,912,1725,1151,0.684
0.36,9,7,car,623,980,907,1215,0.618
0.36,9,9,car,309,1069,731,1409,0.495
0.36,9,13,person,83,1849,282,2155,0.692
0.36,9,8,car,2544,738,2750,866,0.458
0.36,9,1,car,2746,1477,3138,1924,0.522
0.36,9,6,person,3757,882,3830,1135,0.524
0.36,9,17,person,17,1509,135,1803,0.803
0.36,9,15,car,2224,656,2388,798,0.492
0.4,10,2,car,2334,752,2547,910,0.478
0.4,10,3,car,1117,846,1377,1077,0.489
0.4,10,4,car,1819,855,2102,1149,0.641
0.4,10,5,car,1443,913,1725,1151,0.635
0.4,10,7,car,621,982,908,1219,0.464
0.4,10,13,person,125,1846,342,2157,0.78
0.4,10,1,car,2762,1488,3142,1927,0.565
0.4,10,6,person,3754,883,3829,1135,0.508
0.4,10,17,person,19,1498,143,1804,0.645
0.4,10,18,person,3743,884,3799,1108,0.493
0.4,10,15,car,2224,656,2389,799,0.418
0.44,11,2,car,2335,756,2544,911,0.453
0.44,11,4,car,1820,858,2100,1149,0.59
0.44,11,5,car,1444,914,1725,1151,0.625
0.44,11,7,car,618,982,911,1222,0.505
0.44,11,13,person,150,1831,392,2150,0.76
0.44,11,1,car,2775,1498,3148,1937,0.512
0.44,11,6,person,3750,883,3828,1139,0.558
0.44,11,17,person,17,1485,149,1808,0.714
0.44,11,18,person,3742,884,3801,1122,0.488
0.44,11,8,car,2549,742,2743,863,0.403
0.48,12,2,car,2333,754,2545,911,0.473
0.48,12,4,car,1820,859,2100,1148,0.671
0.48,12,5,car,1439,908,1729,1154,0.671
0.48,12,7,car,613,983,910,1226,0.571
0.48,12,13,person,162,1805,446,2153,0.789
0.48,12,1,car,2793,1512,3153,1944,0.404
0.48,12,6,person,3747,884,3828,1147,0.574
0.48,12,17,person,16,1475,150,1803,0.492
0.48,12,18,person,3738,883,3801,1138,0.411
0.48,12,8,car,2548,745,2741,866,0.425
