timestamp_s,frame,track_id,class,x1,y1,x2,y2,confidence
0.0,0,18,truck,484,373,807,483,0.287
0.033,1,18,car,485,378,830,495,0.406
0.067,2,18,car,489,378,849,501,0.545
0.1,3,18,car,498,380,864,505,0.445
0.133,4,18,car,507,380,880,509,0.5
0.167,5,18,car,521,381,893,510,0.422
0.2,6,18,car,577,382,936,509,0.384
0.233,7,18,car,571,384,917,507,0.414
0.267,8,18,car,567,379,918,504,0.342
0.3,9,18,car,608,383,952,508,0.355
0.333,10,18,car,610,380,968,512,0.483
0.367,11,18,truck,603,376,978,515,0.462
0.367,11,43,car,626,378,945,515,0.402
0.4,12,18,car,608,376,990,518,0.429
0.4,12,43,truck,628,377,961,520,0.363
0.433,13,18,car,622,379,999,521,0.464
0.433,13,43,truck,639,379,971,521,0.445
0.467,14,18,truck,626,380,1007,524,0.313
0.467,14,43,car,655,382,987,524,0.606
0.5,15,18,truck,633,382,1017,527,0.339
0.5,15,43,car,659,383,995,527,0.546
0.533,16,18,car,642,382,1027,527,0.579
0.533,16,43,truck,660,383,1005,529,0.311
0.567,17,18,car,653,382,1042,529,0.601
0.567,17,43,truck,666,383,1019,531,0.269
0.6,18,18,car,669,383,1055,529,0.715
0.633,19,18,car,687,382,1076,530,0.789
0.667,20,18,car,705,383,1093,531,0.832
0.7,21,18,car,724,385,1104,531,0.787
0.733,22,18,car,741,386,1119,530,0.759
0.767,23,18,car,754,387,1133,532,0.797
0.8,24,18,car,766,387,1152,535,0.809
0.833,25,18,car,780,387,1167,536,0.837
0.867,26,18,car,792,387,1180,536,0.821
0.9,27,18,car,807,388,1197,537,0.789
0.933,28,18,car,824,389,1217,538,0.786
0.967,29,18,car,836,389,1231,540,0.814
1.0,30,18,car,843,391,1243,543,0.787
1.033,31,18,car,864,395,1260,544,0.816
1.067,32,18,car,881,396,1278,545,0.813
1.1,33,18,car,893,395,1295,546,0.825
1.133,34,18,car,904,394,1317,549,0.836
1.167,35,18,car,918,395,1335,551,0.823
1.2,36,18,car,931,394,1353,553,0.807
1.233,37,18,car,946,392,1374,553,0.77
1.267,38,18,car,963,393,1385,550,0.775
1.3,39,18,car,981,392,1400,548,0.789
1.333,40,18,car,999,393,1418,547,0.811
1.367,41,18,car,1013,392,1441,549,0.796
1.4,42,18,car,1028,395,1459,552,0.76
1.433,43,18,car,1041,394,1479,553,0.797
1.467,44,18,car,1055,394,1501,556,0.813
1.5,45,18,car,1073,395,1522,557,0.834
1.533,46,18,car,1087,396,1538,558,0.84
1.567,47,18,car,1097,398,1546,560,0.853
1.6,48,18,car,1100,396,1546,563,0.827
1.633,49,18,car,1107,397,1546,565,0.864
1.667,50,18,car,1116,397,1546,566,0.893
1.7,51,18,car,1128,397,1546,564,0.889
1.733,52,18,car,1146,399,1546,561,0.79
1.767,53,18,car,1158,400,1546,560,0.794
1.8,54,18,car,1170,401,1546,560,0.813
1.833,55,18,car,1183,400,1546,559,0.662
1.867,56,18,car,1197,400,1546,557,0.418
1.9,57,18,car,1210,400,1546,558,0.663
1.933,58,18,car,1221,400,1546,560,0.733
1.967,59,18,car,1232,400,1546,562,0.781
2.0,60,18,car,1247,401,1546,562,0.809
2.033,61,18,car,1260,400,1546,561,0.666
2.067,62,18,car,1278,402,1546,561,0.728
2.1,63,18,car,1292,402,1546,562,0.69
2.133,64,18,car,1308,403,1546,564,0.675
2.167,65,18,car,1325,404,1546,564,0.588
2.2,66,18,car,1342,404,1546,565,0.672
2.233,67,18,car,1356,403,1546,564,0.533
2.267,68,18,car,1376,403,1546,555,0.596
2.333,70,218,car,1467,403,1546,536,0.498
