timestamp_s,frame,track_id,class,x1,y1,x2,y2,confidence
0.0,0,1,car,477,358,841,560,0.467
0.033,1,1,car,447,351,885,595,0.516
0.067,2,1,car,509,355,829,532,0.695
0.1,3,1,car,564,366,828,511,0.669
0.133,4,1,car,559,365,832,514,0.683
0.167,5,1,car,552,366,862,533,0.657
0.2,6,1,car,567,368,869,531,0.566
0.233,7,1,car,571,367,885,535,0.639
0.267,8,1,car,560,367,905,553,0.679
0.267,8,4,car,1300,578,1446,719,0.564
0.3,9,1,car,574,367,922,556,0.584
0.333,10,1,car,595,368,942,558,0.52
0.367,11,1,car,613,369,960,559,0.609
0.4,12,1,car,626,371,962,554,0.696
0.433,13,1,car,635,371,968,551,0.675
0.467,14,1,car,641,370,986,554,0.698
0.5,15,1,car,641,369,989,553,0.557
0.533,16,1,car,659,370,1003,548,0.632
0.567,17,1,car,669,370,1015,547,0.584
0.567,17,5,car,543,342,631,436,0.5
0.6,18,1,car,688,372,1029,543,0.682
0.6,18,5,car,539,342,629,436,0.468
0.633,19,1,car,707,371,1053,544,0.745
0.633,19,5,car,537,340,628,436,0.426
0.667,20,1,car,720,371,1066,542,0.745
0.667,20,5,car,538,339,630,437,0.437
0.7,21,1,car,734,373,1079,541,0.743
0.7,21,5,car,543,339,635,437,0.434
0.733,22,1,car,747,373,1100,544,0.788
0.733,22,5,car,546,338,638,437,0.462
0.767,23,1,car,759,375,1114,546,0.687
0.767,23,5,car,547,338,640,437,0.401
0.8,24,1,car,771,376,1129,546,0.645
0.8,24,5,car,548,339,639,436,0.449
0.833,25,1,car,792,376,1151,545,0.686
0.833,25,5,car,549,338,640,436,0.417
0.833,25,7,car,633,376,812,544,0.744
0.867,26,1,car,808,376,1169,544,0.707
0.867,26,7,car,635,375,815,543,0.775
0.9,27,1,car,815,376,1183,545,0.655
0.9,27,7,car,637,375,817,543,0.747
0.9,27,5,car,550,338,640,436,0.462
0.933,28,1,car,823,374,1200,546,0.701
0.933,28,7,car,639,375,816,542,0.668
0.933,28,5,car,550,339,639,436,0.514
0.967,29,1,car,842,374,1219,545,0.738
0.967,29,7,car,640,375,818,543,0.545
0.967,29,5,car,551,340,639,436,0.501
1.0,30,1,car,856,377,1229,544,0.73
1.0,30,7,car,640,375,819,545,0.626
1.0,30,5,car,551,341,640,436,0.513
1.0,30,10,car,1149,585,1239,720,0.546
1.033,31,1,car,867,375,1249,545,0.757
1.033,31,7,car,643,377,820,545,0.75
1.033,31,5,car,552,341,641,437,0.505
1.033,31,10,car,1146,599,1226,720,0.578
1.067,32,1,car,880,373,1271,547,0.763
1.067,32,7,car,646,376,821,543,0.595
1.067,32,5,car,551,341,640,436,0.547
1.1,33,1,car,894,373,1291,548,0.735
1.1,33,7,car,650,377,818,538,0.721
1.1,33,5,car,552,341,642,436,0.52
1.1,33,11,car,543,523,791,705,0.655
1.133,34,1,car,904,372,1305,548,0.73
