timestamp_s,frame,track_id,class,x1,y1,x2,y2,confidence
0.067,2,1,car,504,360,840,562,0.534
0.1,3,1,car,524,358,863,562,0.62
0.133,4,1,car,524,359,862,562,0.425
0.167,5,1,car,531,356,875,563,0.498
0.567,17,1,car,722,365,1020,541,0.495
0.6,18,2,person,827,446,895,694,0.436
0.6,18,1,car,725,365,1035,545,0.568
0.633,19,1,car,731,367,1043,544,0.648
0.667,20,1,car,732,371,1046,545,0.623
0.7,21,1,car,741,374,1065,550,0.539
0.733,22,1,car,761,378,1083,549,0.613
0.733,22,2,person,833,455,900,702,0.514
0.767,23,1,car,776,381,1107,556,0.64
0.767,23,2,person,837,460,902,696,0.519
0.8,24,1,car,784,381,1126,560,0.637
0.8,24,2,person,840,454,905,692,0.488
0.833,25,1,car,799,384,1142,561,0.544
0.833,25,2,person,842,451,909,692,0.506
0.867,26,1,car,802,383,1154,561,0.586
0.867,26,2,person,842,443,910,688,0.51
0.9,27,1,car,815,381,1175,562,0.604
0.9,27,2,person,843,444,908,681,0.531
0.9,27,4,person,432,500,496,719,0.474
0.933,28,1,car,845,383,1195,557,0.664
0.933,28,2,person,847,437,914,683,0.504
0.933,28,4,person,438,508,500,718,0.467
0.967,29,1,car,856,381,1211,554,0.681
0.967,29,2,person,850,434,917,682,0.437
1.0,30,1,car,874,384,1225,553,0.622
1.0,30,2,person,858,434,923,678,0.449
1.0,30,6,person,847,439,902,676,0.461
1.033,31,1,car,889,383,1244,552,0.73
1.033,31,2,person,854,426,921,680,0.483
1.067,32,1,car,898,382,1260,552,0.657
1.067,32,2,person,849,399,924,683,0.499
1.1,33,1,car,904,382,1268,552,0.726
1.1,33,2,person,856,419,925,676,0.523
1.133,34,1,car,917,382,1292,556,0.707
1.133,34,2,person,860,427,927,673,0.509
1.167,35,1,car,926,382,1305,557,0.706
1.167,35,2,person,862,431,927,671,0.477
1.167,35,8,car,556,526,775,720,0.593
1.2,36,1,car,934,380,1314,555,0.668
1.2,36,2,person,862,420,930,669,0.475
1.233,37,1,car,944,380,1320,553,0.711
1.233,37,2,person,862,410,931,667,0.478
1.233,37,10,car,913,371,1355,720,0.417
