timestamp_s,frame,track_id,class,x1,y1,x2,y2,confidence
0.0,0,1,car,319,1025,747,1382,0.732
0.0,0,2,person,1443,793,1725,1149,0.719
0.0,0,3,car,2343,663,2580,926,0.647
0.0,0,4,car,644,946,898,1214,0.553
0.0,0,5,car,1126,770,1395,1059,0.54
0.0,0,6,person,1817,795,2095,1129,0.533
0.0,0,7,car,2220,643,2396,809,0.468
0.0,0,8,car,2573,654,2782,874,0.414
0.04,1,1,car,317,1023,747,1382,0.741
0.04,1,2,person,1439,783,1727,1149,0.761
0.04,1,3,car,2339,645,2587,919,0.598
0.04,1,4,car,644,946,894,1211,0.556
0.04,1,5,car,1132,780,1388,1056,0.647
0.04,1,6,person,1835,834,2084,1133,0.652
0.04,1,7,car,2219,642,2395,808,0.467
0.04,1,8,car,2534,612,2785,877,0.52
0.08,2,1,car,315,1020,748,1381,0.72
0.08,2,2,person,1438,780,1729,1149,0.778
0.08,2,3,car,2336,639,2583,913,0.624
0.08,2,4,car,640,945,892,1211,0.567
0.08,2,5,car,1124,773,1391,1061,0.621
0.08,2,6,person,1839,841,2083,1134,0.671
0.08,2,8,car,2530,608,2786,878,0.537
0.08,2,9,car,771,868,1005,1084,0.45
0.12,3,1,car,317,1025,744,1382,0.725
0.12,3,2,person,1443,789,1726,1148,0.713
0.12,3,3,car,2341,657,2576,917,0.529
0.12,3,4,car,632,944,890,1216,0.558
0.12,3,5,car,1125,782,1386,1063,0.493
0.12,3,6,person,1811,776,2104,1129,0.524
0.12,3,8,car,2531,607,2788,880,0.544
0.12,3,9,car,769,866,1006,1086,0.46
0.16,4,1,car,323,1040,737,1385,0.702
0.16,4,2,person,1445,794,1724,1148,0.686
0.16,4,3,car,2343,663,2571,916,0.48
0.16,4,4,car,627,944,887,1217,0.6
0.16,4,5,car,1119,771,1392,1065,0.401
0.16,4,6,person,1805,764,2109,1130,0.571
0.16,4,8,car,2532,613,2779,876,0.644
0.16,4,9,car,770,867,1007,1087,0.466
0.16,4,7,car,2217,643,2391,807,0.462
0.2,5,1,car,324,1046,730,1386,0.734
0.2,5,2,person,1451,806,1720,1148,0.679
0.2,5,3,car,2337,657,2568,913,0.446
0.2,5,4,car,622,943,886,1220,0.603
0.2,5,5,car,1116,777,1385,1066,0.588
