timestamp_s,frame,track_id,class,x1,y1,x2,y2,confidence
0.0,0,1,car,324,1023,751,1393,0.753
0.0,0,2,car,2355,648,2583,922,0.745
0.0,0,3,car,2228,638,2397,807,0.682
0.0,0,4,car,1436,799,1734,1151,0.494
0.0,0,5,car,1142,802,1386,1058,0.494
0.0,0,6,car,624,955,896,1224,0.483
0.04,1,1,car,321,1025,746,1393,0.697
0.04,1,2,car,2351,657,2571,922,0.676
0.04,1,3,car,2227,640,2393,807,0.672
0.04,1,4,car,1432,792,1735,1150,0.455
0.04,1,5,car,1138,800,1388,1062,0.503
0.04,1,6,car,621,957,894,1226,0.573
0.08,2,1,car,319,1028,743,1395,0.747
0.08,2,2,car,2350,662,2565,920,0.69
0.08,2,3,car,2225,640,2390,805,0.64
0.08,2,4,car,1429,785,1738,1151,0.536
0.08,2,5,car,1133,798,1388,1065,0.543
0.08,2,6,car,620,959,892,1227,0.611
0.12,3,1,car,316,1031,739,1398,0.66
0.12,3,2,car,2347,659,2566,922,0.718
0.12,3,3,car,2223,641,2388,806,0.697
0.12,3,5,car,1135,808,1382,1066,0.626
0.12,3,6,car,620,959,893,1229,0.627
0.16,4,1,car,322,1043,732,1400,0.717
0.16,4,2,car,2342,657,2563,922,0.762
0.16,4,3,car,2225,643,2385,804,0.701
0.16,4,5,car,1134,811,1381,1069,0.617
0.16,4,6,car,618,961,890,1229,0.653
0.2,5,1,car,322,1046,729,1400,0.682
0.2,5,2,car,2336,656,2557,920,0.772
0.2,5,3,car,2227,644,2382,801,0.712
0.2,5,5,car,1128,802,1386,1073,0.506
0.2,5,6,car,618,954,894,1226,0.615
0.24,6,1,car,323,1056,723,1404,0.682
0.24,6,2,car,2338,660,2556,920,0.745
0.24,6,3,car,2229,645,2383,799,0.719
0.24,6,5,car,1123,797,1386,1074,0.429
0.24,6,6,car,617,949,899,1227,0.548
0.24,6,8,car,2567,647,2754,868,0.491
0.28,7,1,car,317,1051,723,1406,0.462
0.28,7,2,car,2340,661,2555,919,0.727
0.28,7,3,car,2229,644,2383,798,0.703
0.28,7,5,car,1124,800,1385,1076,0.516
0.28,7,6,car,616,949,898,1228,0.497
0.28,7,8,car,2568,645,2755,866,0.442
0.32,8,1,car,313,1051,719,1408,0.48
0.32,8,2,car,2339,665,2550,918,0.752
0.32,8,3,car,2230,649,2380,798,0.677
0.32,8,5,car,1125,806,1383,1079,0.509
0.32,8,8,car,2559,640,2750,866,0.556
0.36,9,1,car,313,1055,714,1409,0.594
0.36,9,2,car,2337,665,2548,918,0.751
0.36,9,3,car,2230,649,2377,795,0.654
0.36,9,5,car,1123,803,1384,1082,0.507
0.36,9,8,car,2559,638,2751,866,0.482
0.4,10,1,car,310,1051,714,1410,0.643
0.4,10,2,car,2337,666,2546,917,0.754
0.4,10,3,car,2226,648,2376,796,0.651
0.4,10,5,car,1120,798,1386,1083,0.604
0.4,10,8,car,2558,641,2748,866,0.453
0.4,10,4,car,1391,672,1787,1155,0.451
