timestamp_s,frame,track_id,class,x1,y1,x2,y2,confidence
0.0,0,1,person,350,484,460,716,0.553
0.0,0,2,person,1169,507,1263,720,0.541
0.0,0,3,person,100,447,216,718,0.517
0.0,0,4,person,969,489,1064,720,0.511
0.0,0,5,person,1063,372,1096,482,0.474
0.0,0,6,car,477,358,841,560,0.467
0.033,1,1,person,360,483,471,716,0.464
0.033,1,2,person,1169,505,1263,720,0.556
0.033,1,3,person,98,448,209,712,0.546
0.033,1,4,person,969,490,1064,720,0.521
0.033,1,5,person,1064,374,1096,482,0.454
0.033,1,6,car,447,351,885,595,0.516
0.067,2,1,person,359,485,470,717,0.512
0.067,2,2,person,1168,505,1262,719,0.616
0.067,2,3,person,100,446,215,717,0.534
0.067,2,4,person,970,490,1064,720,0.537
0.067,2,5,person,1063,374,1096,482,0.402
0.067,2,6,car,509,355,829,532,0.695
0.1,3,1,person,355,486,465,717,0.582
0.1,3,2,person,1167,505,1261,718,0.603
0.1,3,3,person,103,447,218,718,0.559
0.1,3,4,person,970,491,1065,720,0.502
0.1,3,5,person,1063,373,1095,482,0.427
0.1,3,6,car,564,366,828,511,0.669
0.133,4,1,person,357,487,465,716,0.532
0.133,4,2,person,1167,506,1260,718,0.549
0.133,4,3,person,101,447,215,716,0.536
0.133,4,4,person,970,491,1065,720,0.436
0.133,4,5,person,1063,373,1096,483,0.506
0.133,4,6,car,559,365,832,514,0.683
0.167,5,1,person,359,490,465,714,0.501
0.167,5,2,person,1167,507,1261,718,0.555
0.167,5,3,person,107,447,221,718,0.587
0.167,5,4,person,970,490,1066,719,0.442
0.167,5,5,person,1063,372,1096,484,0.532
0.167,5,6,car,552,366,862,533,0.657
0.2,6,1,person,372,489,481,718,0.408
0.2,6,2,person,1169,507,1262,719,0.527
0.2,6,3,person,111,447,224,719,0.569
0.2,6,4,person,970,489,1067,719,0.414
0.2,6,5,person,1062,371,1096,484,0.547
0.2,6,6,car,567,368,869,531,0.566
0.233,7,2,person,1169,506,1263,719,0.53
0.233,7,3,person,114,449,226,720,0.556
0.233,7,4,person,970,487,1068,718,0.411
0.233,7,5,person,1062,371,1096,485,0.469
0.233,7,6,car,571,367,885,535,0.639
0.267,8,2,person,1171,507,1264,719,0.48
0.267,8,3,person,116,450,226,720,0.548
0.267,8,5,person,1062,373,1095,485,0.417
0.267,8,6,car,560,367,905,553,0.679
0.267,8,12,car,1300,578,1446,719,0.564
0.267,8,1,person,368,490,474,716,0.505
0.3,9,3,person,118,450,226,719,0.508
0.3,9,5,person,1061,375,1094,485,0.427
0.3,9,6,car,574,367,922,556,0.584
0.333,10,3,person,121,451,226,716,0.478
0.333,10,5,person,1061,377,1093,485,0.439
0.333,10,6,car,595,368,942,558,0.52
0.333,10,13,person,481,468,566,719,0.476
0.333,10,12,person,1296,571,1449,719,0.407
0.333,10,1,person,367,489,472,716,0.419
0.367,11,3,person,127,454,229,716,0.505
0.367,11,5,person,1061,380,1093,486,0.458
0.367,11,6,car,613,369,960,559,0.609
0.367,11,13,person,484,467,569,719,0.58
0.367,11,12,person,1290,569,1445,719,0.478
0.367,11,1,person,368,488,473,715,0.457
0.367,11,4,person,971,485,1071,717,0.438
0.367,11,2,person,1181,507,1275,720,0.402
0.4,12,3,person,129,453,230,716,0.508
0.4,12,5,person,1061,382,1092,486,0.432
0.4,12,6,car,626,371,962,554,0.696
0.4,12,13,person,486,464,572,720,0.504
0.4,12,1,person,370,487,474,715,0.485
0.4,12,4,person,970,484,1071,717,0.471
0.4,12,2,person,1183,511,1276,720,0.418
0.433,13,3,person,131,450,231,716,0.522
0.433,13,6,car,635,371,968,551,0.675
0.433,13,1,person,371,487,475,715,0.525
0.433,13,4,person,971,488,1072,715,0.503
0.467,14,3,person,133,450,232,717,0.521
0.467,14,6,car,641,370,986,554,0.698
0.467,14,1,person,374,487,477,715,0.526
0.467,14,4,person,972,492,1073,715,0.47
0.5,15,3,person,135,455,231,717,0.553
0.5,15,6,car,641,369,989,553,0.557
0.5,15,1,person,379,487,480,715,0.505
0.5,15,4,person,972,492,1075,715,0.44
0.533,16,3,person,135,456,231,718,0.417
0.533,16,6,car,659,370,1003,548,0.632
0.533,16,1,person,382,486,483,716,0.523
0.567,17,3,person,136,455,232,719,0.405
0.567,17,6,car,669,370,1015,547,0.584
0.567,17,1,person,384,487,484,716,0.506
0.567,17,15,car,543,342,631,436,0.5
0.6,18,3,person,138,459,232,720,0.481
0.6,18,6,car,688,372,1029,543,0.682
0.6,18,1,person,386,488,484,716,0.508
0.6,18,15,car,539,342,629,436,0.468
0.633,19,3,person,139,463,233,720,0.488
0.633,19,6,car,707,371,1053,544,0.745
0.633,19,1,person,388,489,485,716,0.475
0.633,19,15,car,537,340,628,436,0.426
0.667,20,3,person,140,457,237,720,0.566
0.667,20,6,car,720,371,1066,542,0.745
0.667,20,1,person,390,491,486,717,0.486
0.667,20,15,car,538,339,630,437,0.437
0.667,20,13,person,523,467,611,719,0.437
0.7,21,3,person,142,465,239,720,0.487
0.7,21,6,car,734,373,1079,541,0.743
0.7,21,1,person,391,490,487,718,0.507
0.7,21,15,car,543,339,635,437,0.434
0.7,21,13,person,544,469,638,719,0.666
0.733,22,3,person,147,461,246,720,0.619
0.733,22,6,car,747,373,1100,544,0.788
0.733,22,1,person,393,489,488,718,0.498
0.733,22,15,car,546,338,638,437,0.462
0.733,22,13,person,548,469,649,719,0.572
0.767,23,3,person,151,461,250,720,0.62
0.767,23,6,car,759,375,1114,546,0.687
0.767,23,1,person,393,488,488,718,0.548
0.767,23,15,car,547,338,640,437,0.401
0.767,23,18,person,835,465,910,693,0.513
0.8,24,3,person,155,460,254,719,0.597
0.8,24,6,car,771,376,1129,546,0.645
0.8,24,1,person,393,488,487,719,0.536
0.8,24,15,car,548,339,639,436,0.449
0.8,24,18,person,838,465,913,694,0.608
0.833,25,3,person,157,461,258,719,0.602
0.833,25,6,car,792,376,1151,545,0.686
0.833,25,1,person,397,489,490,719,0.455
0.833,25,15,car,549,338,640,436,0.417
0.833,25,18,person,840,455,917,691,0.537
0.833,25,19,car,633,376,812,544,0.744
0.833,25,13,person,559,478,661,720,0.442
0.867,26,3,person,162,458,263,719,0.585
0.867,26,6,car,808,376,1169,544,0.707
0.867,26,1,person,402,493,492,718,0.497
0.867,26,18,person,841,446,919,688,0.478
0.867,26,19,car,635,375,815,543,0.775
0.867,26,13,person,554,462,666,720,0.43
0.9,27,3,person,165,453,268,719,0.537
0.9,27,6,car,815,376,1183,545,0.655
0.9,27,1,person,407,492,496,718,0.534
0.9,27,18,person,841,441,921,687,0.516
0.9,27,19,car,637,375,817,543,0.747
0.9,27,13,person,554,467,668,720,0.462
0.9,27,4,person,989,515,1083,718,0.444
0.9,27,15,car,550,338,640,436,0.462
0.933,28,3,person,167,448,271,719,0.511
0.933,28,6,car,823,374,1200,546,0.701
0.933,28,1,person,409,492,498,719,0.53
0.933,28,18,person,843,438,921,682,0.471
0.933,28,19,car,639,375,816,542,0.668
0.933,28,21,person,491,508,532,696,0.405
0.933,28,4,person,987,510,1085,718,0.412
0.933,28,15,car,550,339,639,436,0.514
0.967,29,3,person,168,446,273,719,0.496
0.967,29,6,car,842,374,1219,545,0.738
0.967,29,1,person,408,488,499,719,0.57
0.967,29,18,person,845,443,921,679,0.454
0.967,29,19,car,640,375,818,543,0.545
0.967,29,15,car,551,340,639,436,0.501
1.0,30,3,person,168,444,274,719,0.508
1.0,30,6,car,856,377,1229,544,0.73
1.0,30,1,person,411,492,500,719,0.443
1.0,30,18,person,843,419,925,679,0.45
1.0,30,19,car,640,375,819,545,0.626
1.0,30,15,car,551,341,640,436,0.513
1.0,30,23,car,1149,585,1239,720,0.546
1.033,31,3,person,168,439,275,719,0.441
1.033,31,6,car,867,375,1249,545,0.757
1.033,31,1,person,414,495,502,719,0.514
1.033,31,19,car,643,377,820,545,0.75
1.033,31,15,car,552,341,641,437,0.505
1.033,31,23,car,1146,599,1226,720,0.578
1.067,32,3,person,169,441,276,719,0.467
1.067,32,6,car,880,373,1271,547,0.763
1.067,32,1,person,417,492,506,719,0.503
1.067,32,19,car,646,376,821,543,0.595
1.067,32,15,car,551,341,640,436,0.547
1.067,32,13,car,616,519,718,696,0.548
1.067,32,18,person,849,430,925,673,0.405
1.1,33,6,car,894,373,1291,548,0.735
1.1,33,1,person,419,487,510,719,0.53
1.1,33,19,car,650,377,818,538,0.721
1.1,33,15,car,552,341,642,436,0.52
1.1,33,13,car,608,523,728,705,0.655
1.1,33,18,person,851,433,926,675,0.445
1.133,34,6,car,904,372,1305,548,0.73
1.133,34,1,person,424,486,515,720,0.541
1.133,34,19,car,653,376,819,536,0.56
1.133,34,15,car,554,342,644,436,0.478
1.133,34,13,car,601,524,737,712,0.635
1.133,34,18,person,855,439,928,672,0.424
1.167,35,6,car,914,370,1329,551,0.671
1.167,35,1,person,430,483,522,720,0.503
1.167,35,15,car,552,342,643,437,0.413
1.167,35,13,car,598,522,743,707,0.591
1.167,35,18,person,856,430,931,671,0.489
1.167,35,24,car,994,529,1204,720,0.441
1.2,36,6,car,928,366,1347,549,0.751
1.2,36,1,person,439,482,531,718,0.458
1.2,36,15,car,550,342,641,437,0.447
1.2,36,13,car,595,520,746,703,0.653
1.2,36,18,person,858,419,935,670,0.457
1.233,37,6,car,944,368,1360,550,0.732
1.233,37,15,car,548,342,640,437,0.462
1.233,37,13,car,586,520,749,710,0.617
1.233,37,18,person,859,405,939,668,0.533
1.267,38,6,car,960,366,1387,553,0.693
1.267,38,15,car,546,342,640,437,0.46
1.267,38,13,car,579,521,739,703,0.638
1.267,38,18,person,862,388,944,663,0.61
1.267,38,26,person,232,450,318,666,0.548
1.267,38,1,person,449,480,541,716,0.413
1.3,39,6,car,978,368,1404,553,0.778
1.3,39,15,car,542,342,637,437,0.498
1.3,39,13,car,571,520,735,705,0.668
1.3,39,18,person,865,390,945,661,0.643
1.3,39,26,person,236,452,321,665,0.419
1.333,40,6,car,995,371,1418,553,0.758
1.333,40,15,car,542,343,638,437,0.523
1.333,40,13,car,564,519,735,711,0.621
1.333,40,18,person,869,394,945,661,0.63
1.333,40,26,person,240,454,323,664,0.473
1.367,41,6,car,1008,369,1435,553,0.708
1.367,41,15,car,545,344,641,437,0.435
1.367,41,13,car,563,520,737,713,0.544
1.367,41,18,person,872,388,948,659,0.66
1.367,41,24,person,958,492,1203,720,0.414
1.4,42,6,car,1025,378,1448,558,0.697
1.4,42,13,car,563,519,743,714,0.534
1.4,42,18,person,877,395,950,658,0.646
1.433,43,6,car,1043,381,1471,562,0.759
1.433,43,13,car,567,519,753,715,0.41
1.433,43,18,person,879,388,953,658,0.607
1.433,43,19,car,675,379,832,527,0.446
1.467,44,6,car,1055,382,1492,565,0.76
1.467,44,18,person,881,388,954,656,0.476
1.467,44,27,person,0,493,226,719,0.428
1.467,44,19,car,659,378,822,526,0.495
1.467,44,15,car,547,340,645,436,0.458
1.5,45,6,car,1079,387,1498,559,0.711
1.5,45,18,person,883,390,955,655,0.433
1.5,45,27,person,0,494,219,719,0.432
1.5,45,19,car,658,377,826,528,0.562
1.5,45,15,car,547,340,646,436,0.464
1.5,45,1,person,465,481,557,714,0.463
1.533,46,6,car,1087,387,1519,563,0.72
1.533,46,27,person,0,489,215,718,0.441
1.533,46,19,car,651,377,827,531,0.634
1.533,46,15,car,547,339,645,436,0.522
1.533,46,1,person,469,480,560,715,0.578
1.567,47,6,car,1089,386,1533,566,0.693
1.567,47,27,person,0,487,216,718,0.511
1.567,47,19,car,638,376,826,537,0.756
1.567,47,15,car,544,337,643,436,0.602
1.567,47,1,person,470,479,561,717,0.47
1.6,48,6,car,1096,387,1546,569,0.687
1.6,48,27,person,0,490,217,719,0.412
1.6,48,19,car,633,375,829,541,0.732
1.6,48,15,car,544,336,642,436,0.652
1.6,48,1,person,471,477,561,716,0.408
1.6,48,30,person,1290,511,1411,720,0.471
1.6,48,26,person,270,446,351,656,0.497
1.6,48,18,person,887,380,962,656,0.412
1.633,49,6,car,1113,387,1546,566,0.706
1.633,49,19,car,633,375,830,540,0.722
1.633,49,15,car,544,336,642,436,0.639
1.633,49,1,person,474,475,564,717,0.489
1.633,49,26,person,272,437,354,658,0.436
1.633,49,18,person,887,375,965,660,0.483
