epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1018.19,1.90511,2.03456,1.15536,0.55991,0.30052,0.268,0.11472,1.816,1.50591,1.12135,0.000332389,0.000332389,0.000332389
2,1940.79,1.81649,1.32459,1.14379,0.40913,0.30931,0.30111,0.1363,1.7818,1.31529,1.12862,0.000643754,0.000643754,0.000643754
3,2602.71,1.79708,1.24737,1.14409,0.4374,0.3366,0.32578,0.14567,1.78515,1.24071,1.13477,0.000933118,0.000933118,0.000933118
4,3303.48,1.77121,1.18867,1.13006,0.42712,0.3684,0.32737,0.14548,1.7536,1.21473,1.12806,0.000901,0.000901,0.000901
5,3954.93,1.74972,1.1573,1.12379,0.46836,0.37503,0.34676,0.16051,1.70247,1.1323,1.09592,0.000868,0.000868,0.000868
6,4629.44,1.72193,1.115,1.11269,0.53311,0.38496,0.38835,0.17847,1.701,1.06896,1.10181,0.000835,0.000835,0.000835
7,5287.61,1.68618,1.08503,1.09655,0.49043,0.3926,0.36654,0.16575,1.694,1.09527,1.09837,0.000802,0.000802,0.000802
8,5986.53,1.67494,1.06707,1.0946,0.60109,0.39595,0.39744,0.1818,1.68013,1.05921,1.08777,0.000769,0.000769,0.000769
9,6706.95,1.66457,1.04857,1.08754,0.58928,0.39594,0.4009,0.18838,1.67262,1.06124,1.08467,0.000736,0.000736,0.000736
10,7450,1.64777,1.03003,1.08051,0.49298,0.42107,0.40331,0.1875,1.6517,1.03291,1.07983,0.000703,0.000703,0.000703
11,8137.12,1.64206,1.02261,1.07843,0.54243,0.42613,0.42271,0.19404,1.66563,1.01128,1.09018,0.00067,0.00067,0.00067
12,8842.24,1.63813,1.01109,1.07302,0.57843,0.429,0.42859,0.20137,1.64006,1.00769,1.07629,0.000637,0.000637,0.000637
13,9682.3,1.60257,0.9939,1.06508,0.51173,0.44503,0.41135,0.19043,1.67102,1.00681,1.07825,0.000604,0.000604,0.000604
14,10348.9,1.60716,0.9853,1.06785,0.55021,0.42948,0.43508,0.20528,1.63496,0.97399,1.07009,0.000571,0.000571,0.000571
15,11066.5,1.58898,0.9714,1.06217,0.56657,0.45608,0.44175,0.21164,1.61957,0.97756,1.06368,0.000538,0.000538,0.000538
16,12027.4,1.58606,0.96207,1.0568,0.57078,0.44339,0.44445,0.2122,1.59525,0.96015,1.0612,0.000505,0.000505,0.000505
17,12885.4,1.57401,0.95368,1.05273,0.56135,0.4609,0.45255,0.21644,1.58415,0.94553,1.05353,0.000472,0.000472,0.000472
18,13556.7,1.56696,0.94483,1.05282,0.5867,0.45287,0.45609,0.22022,1.57788,0.94481,1.05031,0.000439,0.000439,0.000439
19,14290.5,1.56693,0.9422,1.05188,0.60972,0.4686,0.46991,0.22508,1.57849,0.95015,1.04932,0.000406,0.000406,0.000406
20,14976.4,1.55878,0.93882,1.04889,0.61772,0.47103,0.47729,0.23288,1.56422,0.93776,1.04794,0.000373,0.000373,0.000373
21,15703.3,1.54071,0.89788,1.044,0.57028,0.47786,0.47468,0.23126,1.57053,0.9185,1.04607,0.00034,0.00034,0.00034
22,16429.6,1.52439,0.88093,1.03901,0.60439,0.46193,0.47896,0.22791,1.58407,0.92927,1.0495,0.000307,0.000307,0.000307
23,17154.5,1.51292,0.87361,1.03485,0.60745,0.46849,0.48289,0.23161,1.58623,0.91753,1.05169,0.000274,0.000274,0.000274
24,17903.7,1.50449,0.86716,1.03181,0.59305,0.48741,0.4951,0.23764,1.56493,0.90519,1.04706,0.000241,0.000241,0.000241
25,18603.9,1.4908,0.85393,1.02628,0.62297,0.48759,0.49983,0.24288,1.54876,0.89611,1.03879,0.000208,0.000208,0.000208
26,19312.3,1.48642,0.8506,1.02588,0.61492,0.48772,0.50114,0.24484,1.54942,0.89419,1.04008,0.000175,0.000175,0.000175
27,20017.3,1.47318,0.83776,1.02276,0.62147,0.49842,0.50283,0.24632,1.54087,0.8869,1.03639,0.000142,0.000142,0.000142
28,20716,1.4643,0.83184,1.01711,0.59967,0.49988,0.50824,0.24786,1.53579,0.87882,1.03337,0.000109,0.000109,0.000109
29,21434.8,1.46047,0.82504,1.01377,0.60318,0.50835,0.51196,0.25129,1.53441,0.87381,1.03269,7.6e-05,7.6e-05,7.6e-05
30,22110.1,1.45196,0.81751,1.01139,0.61936,0.49857,0.51651,0.2553,1.52433,0.86873,1.02862,4.3e-05,4.3e-05,4.3e-05
